Place_Name,Date,Road_Type,Day_Type,Weather,Morning_Traffic,Afternoon_Traffic,Evening_Traffic,Night_Traffic,Peak_Hour_Traffic,Two_Wheelers,Cars,Auto_Rickshaws,Buses,Trucks,Heavy_Vehicles_Total,Avg_Speed_kmph,Signal_Delay_sec,Accident_Count,Accident_Level,Noise_Level_dB,Air_Quality_Index,CO2_Emission_Index,Road_Width_m,Lane_Count,Pedestrian_Count,Parking_Occupancy_%,School_Zone,Hospital_Nearby,Market_Nearby,Bus_Stop_Nearby,CCTV_Available,Street_Light,Violation_Count,Rainfall_mm,Temperature_C,Holiday,Road_Work,Public_Event,Traffic_Police_Presence,Congestion_Level,Overall_Traffic_Index,Emergency_Response_Time_min,Fuel_Consumption_Index,Road_Condition_Index,Min_Speed_kmph,Max_Speed_kmph,Average_Waiting_Time_sec,Signal_Count,Signal_Status
Nambiyur,2023-01-01,Village Road,Weekend,Rainy,2011,469,3110,307,2476,1462,1052,497,394,181,859,19,250,2,Major,62,207,173,19,3,837,75,1,1,0,1,1,1,11,84,41,1,1,0,1,Low,87,36,108,82,9,63,372,7,Good
Sathyamangalam,2023-01-02,Village Road,Weekday,Rainy,1649,2640,3160,1473,2858,1065,1119,351,326,186,715,60,286,3,Major,59,245,161,8,2,421,94,0,0,0,0,1,0,43,101,27,0,0,1,1,Medium,73,5,108,58,8,52,331,5,Average
Sivagiri,2023-01-03,Village Road,Weekend,Clear,1134,2236,688,867,4634,247,770,233,21,138,296,45,299,0,Major,54,218,164,23,5,911,62,0,1,1,1,0,0,28,74,29,0,1,0,1,High,48,21,110,42,23,83,84,4,Poor
Erode,2023-01-04,NH,Weekend,Clear,887,1187,1017,1227,3413,1637,802,174,80,363,271,67,249,3,,74,116,97,11,2,1030,95,0,1,1,1,0,1,34,78,22,0,0,0,0,Low,52,12,114,48,28,84,122,8,Good
Alangiyam,2023-01-05,City Road,Weekend,Hot,344,1587,1483,478,3232,1931,1522,454,101,322,176,29,213,4,Minor,85,174,170,26,1,70,21,1,1,0,0,0,1,10,72,25,1,1,1,0,Medium,99,25,69,78,15,78,66,1,Poor
Bhavani Sagar,2023-01-06,SH,Weekday,Rainy,2844,2965,3282,1320,3780,534,1141,672,35,67,651,27,174,4,Major,88,131,80,24,5,893,76,0,0,0,0,0,0,13,28,32,0,0,0,1,High,94,14,96,83,27,74,57,9,Poor
Alangiyam,2023-01-07,SH,Weekday,Rainy,1878,2743,3891,203,3697,998,1157,513,125,501,87,30,290,1,,85,109,189,20,5,264,34,1,1,0,1,0,1,5,117,27,0,1,1,1,Medium,55,44,99,47,24,87,252,8,Average
Modakurichi,2023-01-08,NH,Weekday,Fog,1028,723,3888,1251,4731,676,1615,451,307,331,339,23,169,2,Minor,93,58,162,18,5,800,13,0,1,1,0,0,0,36,15,31,0,1,1,1,High,97,5,67,46,15,78,87,4,Good
Nambiyur,2023-01-09,Village Road,Weekday,Clear,2810,449,2516,1390,1604,1946,1961,71,368,203,232,66,71,3,Major,73,138,69,5,3,187,75,1,0,0,0,0,1,13,54,41,0,1,1,1,Low,54,7,148,44,8,62,263,2,Poor
Erode,2023-01-10,NH,Weekday,Rainy,819,2685,951,1488,1081,2128,1014,567,95,349,509,68,96,2,Major,48,153,46,13,5,721,39,1,0,1,1,1,1,27,22,31,0,0,1,0,High,94,35,129,80,25,84,73,1,Good
